PerformanceID,EmployeeID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
PR1015,6176-3BEE,3/27/2016,5,3,2,2,0,5,5,4
PR1016,47A0-559B,3/27/2016,3,5,3,3,0,2,3,3
PR1017,A954-6310,3/27/2016,4,3,4,2,1,5,4,3
PR1018,C525-8BB9,3/27/2016,3,4,4,1,2,3,4,3
PR1019,9AAB-DCD0,3/28/2016,4,4,2,2,1,5,5,4
PR102,52CC-3E9E,4/13/2013,3,3,3,3,1,5,3,3
PR1020,00E4-3D60,3/29/2016,3,3,5,3,0,3,5,4
PR1021,03C5-51AD,3/30/2016,4,4,3,2,0,4,5,4
PR1022,A807-DE5D,3/30/2016,3,5,4,3,2,5,3,3
PR1023,DD04-BDF8,3/30/2016,5,4,2,2,0,2,4,3
PR1024,8FD9-AA59,3/31/2016,5,2,5,1,1,2,5,4
PR1025,86E2-73D1,3/31/2016,5,3,2,2,0,2,4,3
PR1026,1A6D-AF5D,4/1/2016,3,4,5,3,2,5,3,2
PR1027,0210-E0D8,4/2/2016,4,2,2,2,1,4,4,4
PR1028,07B2-D67A,4/2/2016,4,4,5,3,1,4,5,4
PR1029,819A-2C9C,4/2/2016,5,5,3,3,0,3,4,3
PR103,C5C2-985F,4/14/2013,3,2,5,3,1,5,4,4
PR1030,B6EC-313E,4/3/2016,5,4,5,2,1,4,5,5
PR1031,0D8F-C0F3,4/5/2016,4,2,4,2,2,3,5,5
PR1032,1799-5B3F,4/5/2016,5,5,5,3,0,4,3,2
PR1033,3B11-DF28,4/5/2016,5,3,5,3,1,2,4,4
PR1034,076F-8AA3,4/6/2016,3,2,3,3,2,4,4,3
PR1035,95D7-1CE9,4/8/2016,3,3,2,1,0,2,3,2
PR1036,B013-7D0C,4/9/2016,3,5,3,2,0,2,5,5
PR1037,531D-788E,4/9/2016,3,3,5,2,1,2,4,4
PR1038,AEDB-BB62,4/10/2016,4,4,2,3,1,2,4,3
PR1039,F430-0404,4/10/2016,4,5,4,2,1,2,3,2
PR104,CDFB-6A08,4/14/2013,3,4,4,3,1,5,3,2
PR1040,7BD4-7BFB,4/10/2016,5,4,2,2,0,2,5,4
PR1041,152E-8DB1,4/11/2016,5,3,2,1,1,4,3,3
PR1042,1A7C-19DB,4/11/2016,4,5,3,3,0,5,5,4
PR1043,489B-14EC,4/11/2016,5,2,2,2,2,4,3,2
PR1044,52CC-3E9E,4/12/2016,3,3,4,1,1,3,3,2
PR1045,A531-8159,4/12/2016,3,3,4,1,2,5,4,4
PR1046,C5C2-985F,4/13/2016,4,4,4,1,3,3,4,3
PR1047,CDFB-6A08,4/13/2016,5,5,5,1,3,2,5,5
PR1048,5C03-1009,4/13/2016,3,2,5,1,2,5,5,4
PR1049,E899-A860,4/13/2016,5,5,3,1,0,3,3,3
PR105,EE91-1A9C,4/15/2013,3,5,2,3,0,3,4,3
PR1050,EE91-1A9C,4/14/2016,4,5,2,1,0,2,4,4
PR1051,7CFC-C4DA,4/14/2016,3,4,4,3,1,4,3,3
PR1052,CF2F-8CA3,4/14/2016,5,2,4,3,0,4,3,2
PR1053,7A98-768E,4/16/2016,3,5,3,3,1,4,5,5
PR1054,C3C0-349E,4/16/2016,3,2,2,1,1,2,3,2
PR1055,96F4-896C,4/16/2016,5,5,5,3,2,3,3,2
PR1056,B52E-BF41,4/16/2016,5,4,4,3,0,5,5,4
PR1057,5D69-D350,4/17/2016,5,4,3,2,2,4,5,4
PR1058,4BE1-4A7B,4/17/2016,5,3,3,3,1,4,5,4
PR1059,AB81-A3A0,4/18/2016,4,3,2,1,1,3,5,5
PR106,5D69-D350,4/18/2013,3,4,5,3,3,5,5,5
PR1060,FD3F-5255,4/19/2016,5,3,2,2,3,2,3,3
PR1061,C661-6A1C,4/20/2016,5,2,4,3,0,4,5,5
PR1062,C025-B8B6,4/20/2016,4,5,2,1,0,2,4,3
PR1063,9528-AA17,4/21/2016,3,5,2,2,1,2,5,5
PR1064,4188-C61D,4/22/2016,4,5,4,3,0,3,4,3
PR1065,DFE3-6FA7,4/22/2016,3,5,5,3,0,2,3,2
PR1066,7335-4656,4/22/2016,4,5,4,2,0,2,3,2
PR1067,49B2-0364,4/23/2016,4,2,2,3,1,2,3,3
PR1068,51A4-EA6E,4/24/2016,4,5,2,2,1,3,4,4
PR1069,A4A4-F49C,4/24/2016,4,4,2,1,0,4,3,2
PR107,C661-6A1C,4/21/2013,5,4,5,2,0,4,3,3
PR1070,BAF9-933D,4/24/2016,5,5,2,2,1,4,5,5
PR1071,1147-7E2F,4/25/2016,4,5,2,1,2,4,3,2
PR1072,4E65-CCD0,4/26/2016,4,2,2,2,0,4,5,4
PR1073,1AC8-361F,4/28/2016,5,5,4,2,2,5,5,4
PR1074,D93A-CC98,4/28/2016,3,5,3,1,0,4,3,2
PR1075,C79A-E5E1,4/29/2016,4,2,2,1,0,4,5,4
PR1076,A1B4-5481,4/30/2016,5,3,3,1,0,3,4,3
PR1077,D49C-096C,4/30/2016,5,5,2,1,1,3,5,4
PR1078,2F04-931F,4/30/2016,3,2,4,3,2,5,3,3
PR1079,380E-44B4,4/30/2016,3,2,3,2,1,3,5,4
PR108,4188-C61D,4/23/2013,5,2,5,3,1,5,5,5
PR1080,327B-F6D3,5/1/2016,5,2,5,3,1,3,3,2
PR1081,B148-55FB,5/1/2016,3,5,4,1,3,5,5,4
PR1082,EB4F-4D97,5/1/2016,5,5,3,1,2,3,4,4
PR1083,1472-9F69,5/2/2016,4,4,4,1,0,5,5,4
PR1084,59DB-8465,5/2/2016,5,5,4,2,0,4,3,2
PR1085,D31B-BEF8,5/3/2016,5,2,3,3,0,2,3,2
PR1086,565B-C207,5/3/2016,4,3,5,3,2,4,3,3
PR1087,13E5-2F17,5/4/2016,3,2,3,3,0,3,3,3
PR1088,ADF8-AD57,5/4/2016,4,5,2,2,2,5,4,3
PR1089,FE2B-3DC7,5/5/2016,4,5,2,3,0,3,4,3
PR109,DFE3-6FA7,4/23/2013,3,4,4,3,1,2,4,4
PR1090,F3D0-41D1,5/5/2016,1,4,3,3,1,1,3,2
PR1091,11AE-3E4D,5/5/2016,3,4,4,1,2,1,5,5
PR1092,2CA8-4E1B,5/6/2016,2,1,1,3,0,3,3,3
PR1093,08E4-D3D5,5/6/2016,1,4,2,1,2,3,3,2
PR1094,D2BE-E6F6,5/6/2016,4,2,2,2,2,1,3,3
PR1095,9BD6-2C43,5/6/2016,4,2,4,1,1,2,4,4
PR1096,E8B6-8BAE,5/7/2016,1,4,2,1,1,4,5,5
PR1097,291F-B604,5/8/2016,3,4,4,2,0,3,5,5
PR1098,692B-7152,5/8/2016,1,1,1,1,3,3,4,4
PR1099,4657-FE18,5/9/2016,2,4,1,1,2,2,4,4
PR11,9937-CDF7,1/11/2013,5,5,2,2,0,2,5,5
PR110,D24B-5AC8,4/23/2013,4,3,4,3,1,4,4,4
PR1100,8EBD-B3E8,5/9/2016,3,4,3,2,1,3,4,3
PR1101,E28D-424B,5/10/2016,3,2,2,2,2,4,5,4
PR1102,7B47-C915,5/10/2016,3,3,2,2,2,5,5,4
PR1103,A848-F98B,5/11/2016,3,4,2,1,0,5,3,2
PR1104,1C87-44CB,5/12/2016,3,2,4,1,0,5,3,3
PR1105,41FE-D257,5/12/2016,5,5,5,1,0,4,5,4
PR1106,A690-3D5D,5/12/2016,3,2,5,2,0,4,3,2
PR1107,42CC-040A,5/13/2016,4,3,2,1,0,5,3,2
PR1108,C9FF-3A25,5/13/2016,5,3,5,2,2,5,5,5
PR1109,BE93-0736,5/13/2016,4,3,5,1,0,2,5,4
PR111,EE12-1C73,4/23/2013,3,4,5,3,0,4,3,3
PR1110,1F0F-458C,5/14/2016,5,4,5,3,0,3,4,4
PR1111,DE6C-86FC,5/15/2016,5,3,3,1,2,3,4,4
PR1112,FFCF-0BD5,5/15/2016,4,3,2,3,2,5,3,2
PR1113,0A05-3943,5/16/2016,4,2,2,2,0,2,5,5
PR1114,9F65-F612,5/16/2016,3,3,5,3,0,5,3,3
PR1115,64D6-0D5F,5/16/2016,3,2,5,3,1,4,4,4
PR1116,9D3C-DA45,5/17/2016,4,3,5,3,1,2,5,5
PR1117,2523-EFD4,5/18/2016,3,2,2,2,1,4,4,4
PR1118,4D59-B831,5/19/2016,4,3,3,3,1,3,5,5
PR1119,5060-A677,5/19/2016,5,4,3,3,3,4,5,5
PR112,BAF9-933D,4/25/2013,5,2,4,3,0,5,5,4
PR1120,A2D0-E2D2,5/19/2016,3,4,4,1,1,4,4,3
PR1121,BE54-8537,5/19/2016,3,3,2,1,2,4,4,3
PR1122,9169-FC4B,5/20/2016,4,4,3,1,0,3,5,5
PR1123,00B0-F199,5/21/2016,3,3,5,3,2,5,5,4
PR1124,1705-0DE5,5/22/2016,5,4,4,2,2,5,3,2
PR1125,8766-F1E7,5/23/2016,4,3,2,1,2,3,4,4
PR1126,45F9-3A37,5/23/2016,4,5,2,1,0,3,5,4
PR1127,BD1B-53A3,5/23/2016,5,4,2,1,1,5,4,3
PR1128,81BE-17CD,5/23/2016,5,2,2,2,1,3,4,3
PR1129,06DE-E772,5/24/2016,4,3,3,1,2,2,4,3
PR113,1147-7E2F,4/26/2013,3,3,2,1,2,2,3,2
PR1130,0F83-39C1,5/24/2016,4,3,3,2,1,5,4,3
PR1131,ED49-73D3,5/24/2016,3,5,2,1,0,4,5,4
PR1132,D91C-815B,5/26/2016,3,3,5,3,0,2,3,3
PR1133,29C2-1A3F,5/26/2016,5,4,3,2,0,3,5,5
PR1134,462E-03DF,5/26/2016,4,2,2,2,1,2,3,3
PR1135,2F98-E645,5/27/2016,3,4,5,2,0,4,4,3
PR1136,F469-0427,5/27/2016,3,2,5,1,2,5,4,4
PR1137,CACA-0D62,5/28/2016,5,3,3,3,1,3,5,5
PR1138,C08F-94F9,5/29/2016,5,5,2,1,0,3,4,4
PR1139,DEBE-1622,5/29/2016,3,2,3,1,0,4,5,4
PR114,4E65-CCD0,4/27/2013,4,5,3,1,0,3,3,2
PR1140,6965-C170,5/29/2016,5,2,2,3,0,2,4,3
PR1141,7349-CCE0,5/29/2016,3,2,4,1,1,2,5,5
PR1142,6313-8E62,5/31/2016,3,3,4,2,1,3,4,4
PR1143,F662-DEA5,5/31/2016,5,2,5,2,3,5,4,3
PR1144,B3AF-7E58,6/1/2016,4,5,3,1,1,5,4,4
PR1145,64BA-99F0,6/1/2016,3,2,5,2,0,3,5,5
PR1146,8663-3E02,6/1/2016,3,4,2,3,2,5,4,3
PR1147,F523-1135,6/1/2016,3,3,3,3,3,2,4,4
PR1148,0C7B-2EA6,6/3/2016,5,2,4,1,2,4,5,4
PR1149,06E8-4FD4,6/4/2016,3,2,3,1,1,4,3,3
PR115,7EEF-9A90,4/27/2013,5,2,5,2,1,4,4,4
PR1150,9D7B-9B37,6/5/2016,3,3,4,2,0,4,4,4
PR1151,DDBF-9C79,6/6/2016,5,5,4,1,0,5,5,4
PR1152,6CAD-47F0,6/6/2016,4,3,2,1,1,3,3,3
PR1153,CD4D-7BBA,6/6/2016,4,5,3,3,2,4,3,2
PR1154,B785-D8F8,6/9/2016,3,3,3,1,1,4,3,3
PR1155,D584-4E31,6/9/2016,5,5,4,2,1,5,3,2
PR1156,8A40-C85A,6/10/2016,4,5,2,2,0,5,5,4
PR1157,3F0C-41A7,6/12/2016,5,2,3,2,2,5,5,5
PR1158,DFDC-286C,6/13/2016,5,5,2,3,3,4,5,5
PR1159,3E42-57C8,6/14/2016,3,5,5,3,0,4,5,5
PR116,1AC8-361F,4/29/2013,3,3,5,1,2,4,5,4
PR1160,E9B9-3944,6/14/2016,5,5,4,1,0,3,4,3
PR1161,A91B-7DC5,6/14/2016,3,5,3,1,1,4,5,4
PR1162,AB5F-244C,6/16/2016,4,4,3,1,2,5,3,3
PR1163,1E61-70EC,6/17/2016,3,2,3,2,1,2,3,2
PR1164,549F-B3E7,6/17/2016,4,5,4,1,2,3,4,3
PR1165,00A3-2445,6/19/2016,4,5,4,2,2,5,4,3
PR1166,F4D2-F6F2,6/19/2016,4,4,5,3,0,5,3,3
PR1167,BDC5-51CF,6/21/2016,3,2,4,1,0,3,3,3
PR1168,5468-EEE1,6/21/2016,4,3,5,1,2,4,5,4
PR1169,2E72-4BF1,6/22/2016,4,4,3,1,2,5,4,4
PR117,D93A-CC98,4/29/2013,4,5,3,1,0,5,5,4
PR1170,3EB2-9111,6/23/2016,5,3,3,3,1,4,4,4
PR1171,8822-B9C5,6/23/2016,4,4,3,1,1,5,3,2
PR1172,9AAD-D3C1,6/24/2016,4,2,5,3,0,4,3,3
PR1173,4CCA-B1E6,6/26/2016,3,3,4,1,0,5,5,4
PR1174,E8F5-C47D,6/26/2016,3,2,3,3,1,2,4,3
PR1175,8026-658D,6/26/2016,3,4,3,1,2,4,4,4
PR1176,450D-13A9,6/26/2016,5,5,5,2,1,2,3,3
PR1177,C0C7-A3EF,6/28/2016,4,5,5,2,0,3,4,4
PR1178,C385-CDBE,6/28/2016,5,5,4,3,0,3,5,5
PR1179,2B7A-9C73,6/29/2016,4,4,3,1,1,4,3,3
PR118,C79A-E5E1,4/30/2013,3,2,2,1,1,5,4,3
PR1180,4C88-27A1,7/1/2016,5,4,2,3,1,4,5,4
PR1181,5731-90E6,7/1/2016,3,4,2,1,1,5,4,4
PR1182,FBC2-C5FA,7/1/2016,4,4,3,3,0,4,5,5
PR1183,9723-FED9,7/1/2016,3,4,5,3,0,5,3,3
PR1184,F9B6-C80B,7/3/2016,4,3,5,1,0,2,5,5
PR1185,2F85-AF81,7/5/2016,4,2,4,3,0,4,3,3
PR1186,427A-8C69,7/6/2016,3,2,2,3,2,5,5,4
PR1187,8B79-18F1,7/8/2016,5,3,5,3,1,3,4,4
PR1188,AF58-5D1B,7/8/2016,4,3,3,2,2,2,3,3
PR1189,0FC8-561B,7/9/2016,3,2,2,1,2,4,3,3
PR119,A1B4-5481,5/1/2013,5,2,2,1,0,4,3,2
PR1190,7B98-EA6F,7/9/2016,5,3,2,3,1,5,3,2
PR1191,9A87-71F6,7/9/2016,3,2,5,3,1,4,5,4
PR1192,E268-61EB,7/10/2016,3,2,3,3,1,3,3,2
PR1193,132B-F2B2,7/10/2016,5,5,3,3,0,3,3,2
PR1194,A2B5-823F,7/10/2016,3,5,3,3,1,4,4,4
PR1195,6345-2F33,7/11/2016,4,3,5,1,1,3,4,4
PR1196,8583-9174,7/13/2016,5,2,3,2,0,2,5,5
PR1197,E324-1C33,7/15/2016,5,4,4,3,1,5,4,3
PR1198,246E-3383,7/15/2016,3,3,4,1,1,2,3,3
PR1199,D906-B674,7/17/2016,3,3,3,2,1,3,5,4
PR12,CD59-7F94,1/11/2013,5,2,3,2,0,3,3,2
PR120,D49C-096C,5/1/2013,3,4,2,3,1,2,3,2
PR1200,D8FC-E2F7,7/18/2016,5,3,4,2,0,2,3,3
PR1201,F0C3-4859,7/18/2016,5,2,2,2,2,5,5,4
PR1202,F4A3-2126,7/18/2016,5,4,3,3,1,3,4,4
PR1203,F83C-CA1D,7/19/2016,3,4,3,1,1,5,5,4
PR1204,C0BE-FED0,7/19/2016,3,2,4,1,0,3,4,3
PR1205,307F-9BFA,7/19/2016,4,5,2,1,0,3,5,4
PR1206,AA87-13D8,7/20/2016,5,4,4,2,1,5,4,4
PR1207,4316-C080,7/22/2016,3,4,2,2,0,5,5,5
PR1208,9DB2-76B3,7/25/2016,5,3,2,1,1,4,5,4
PR1209,D565-284D,7/25/2016,3,2,4,2,1,3,3,2
PR121,327B-F6D3,5/2/2013,3,5,5,2,0,2,5,5
PR1210,7AA0-5766,7/27/2016,4,4,2,3,3,3,5,5
PR1211,F3A3-10CE,7/28/2016,3,2,2,1,0,3,3,3
PR1212,D69C-8F84,7/28/2016,3,4,4,2,3,5,5,4
PR1213,CBCB-9C9D,7/30/2016,3,3,2,2,0,5,4,4
PR1214,1217-CE30,7/30/2016,3,2,5,1,1,5,4,4
PR1215,27CD-A6BF,7/31/2016,4,5,5,3,2,4,5,5
PR1216,7A8C-2DD3,8/1/2016,5,2,3,1,1,5,4,4
PR1217,66BC-7AC0,8/4/2016,5,5,4,1,1,5,4,3
PR1218,55D6-1423,8/4/2016,4,3,3,3,0,4,3,3
PR1219,ED73-F078,8/4/2016,4,4,3,3,3,5,3,3
PR122,EB4F-4D97,5/2/2013,4,5,4,1,3,2,5,4
PR1220,67D7-9785,8/6/2016,3,2,5,2,1,4,5,4
PR1221,BFE7-5EA8,8/6/2016,4,2,3,2,1,5,3,3
PR1222,5839-7AE2,8/7/2016,3,4,4,1,1,3,4,4
PR1223,5B0E-31FB,8/9/2016,3,4,5,1,1,3,5,5
PR1224,2B08-7D3D,8/10/2016,5,4,4,1,1,4,3,2
PR1225,9825-45EF,8/12/2016,4,3,5,3,0,4,5,4
PR1226,F546-D965,8/12/2016,5,4,5,2,3,2,3,2
PR1227,040C-EDED,8/13/2016,3,5,2,2,1,2,4,3
PR1228,46ED-4007,8/13/2016,5,5,2,1,0,2,3,3
PR1229,9811-F345,8/13/2016,3,2,5,1,2,3,5,5
PR123,1472-9F69,5/3/2013,5,4,4,3,0,4,5,5
PR1230,AFA8-5058,8/14/2016,3,3,2,3,1,5,3,3
PR1231,6112-8476,8/15/2016,5,2,4,3,1,5,5,5
PR1232,D13E-E661,8/15/2016,5,2,5,2,0,5,4,4
PR1233,2A89-93B6,8/16/2016,4,3,4,1,0,5,5,4
PR1234,37EE-004B,8/17/2016,3,5,4,2,0,3,3,2
PR1235,52DD-757F,8/17/2016,5,3,5,2,1,4,3,2
PR1236,B76C-D9CE,8/18/2016,4,5,4,3,0,3,4,4
PR1237,DF11-9C46,8/18/2016,5,5,4,3,1,3,4,3
PR1238,F877-3BF9,8/21/2016,5,5,4,1,1,2,4,4
PR1239,2962-039F,8/21/2016,3,2,2,1,0,2,4,4
PR124,D31B-BEF8,5/4/2013,4,5,4,3,0,4,5,4
PR1240,60B5-48ED,8/21/2016,4,3,3,2,0,3,3,3
PR1241,16FB-8835,8/23/2016,4,2,4,3,3,5,5,4
PR1242,D186-CBF5,8/25/2016,4,4,2,3,3,4,3,2
PR1243,5605-237E,8/25/2016,4,5,5,1,0,4,4,4
PR1244,4FD5-CC71,8/27/2016,3,5,5,3,1,4,3,3
PR1245,134B-4157,9/1/2016,3,5,4,3,0,3,4,3
PR1246,2DD1-FD7F,9/2/2016,3,5,3,2,3,5,4,4
PR1247,C730-6B13,9/2/2016,3,2,3,3,1,2,4,3
PR1248,D6A7-EF72,9/3/2016,3,5,3,2,2,2,3,3
PR1249,39A2-9B0A,9/4/2016,4,2,5,3,0,3,5,5
PR125,13E5-2F17,5/5/2013,5,4,5,1,0,4,4,4
PR1250,B09D-DFEC,9/6/2016,5,5,3,3,1,4,5,4
PR1251,D014-7DB2,9/8/2016,4,4,5,2,1,3,4,3
PR1252,C973-E8E5,9/9/2016,5,2,2,1,3,3,5,5
PR1253,1D35-190A,9/11/2016,5,5,4,1,0,2,5,4
PR1254,4404-DE5A,9/12/2016,3,5,5,1,3,2,5,4
PR1255,6135-885F,9/14/2016,5,5,2,2,3,2,3,2
PR1256,3F19-FC5A,9/16/2016,4,5,5,2,0,2,3,3
PR1257,A71E-A9DC,9/16/2016,3,3,5,3,3,3,3,2
PR1258,2FC8-999D,9/20/2016,5,2,5,1,1,2,3,3
PR1259,3476-CA56,9/21/2016,5,4,2,3,0,3,5,4
PR126,ADF8-AD57,5/5/2013,5,4,3,3,0,4,3,3
PR1260,07F5-A45D,9/22/2016,4,4,4,2,0,5,3,3
PR1261,E7D3-03C9,9/24/2016,5,2,5,2,1,4,5,4
PR1262,7F61-2397,9/26/2016,4,5,2,2,1,4,5,4
PR1263,EB81-3E51,9/26/2016,4,5,4,2,1,4,3,3
PR1264,469A-8121,9/27/2016,4,2,4,1,0,4,3,2
PR1265,1CB3-F7D7,9/28/2016,4,5,3,2,0,2,4,4
PR1266,9085-1FE8,9/28/2016,3,4,4,2,1,3,5,5
PR1267,F890-975A,9/28/2016,4,4,4,2,1,5,4,4
PR1268,B990-35DA,9/29/2016,5,4,5,2,2,3,5,5
PR1269,130F-32AB,10/1/2016,4,3,5,2,2,4,4,3
PR127,FE2B-3DC7,5/6/2013,5,2,5,2,2,5,3,3
PR1270,B34E-95FF,10/1/2016,3,5,3,3,1,5,4,3
PR1271,87D2-8B67,10/1/2016,4,5,2,1,3,3,3,3
PR1272,2C7D-F9F1,10/1/2016,4,4,4,2,1,4,5,4
PR1273,277A-A6FA,10/3/2016,3,2,2,1,2,2,5,5
PR1274,825E-0B3A,10/4/2016,3,4,2,2,2,2,3,3
PR1275,022A-0219,10/8/2016,3,5,3,2,2,5,4,3
PR1276,817D-28CE,10/9/2016,5,5,3,1,1,4,5,5
PR1277,EC6A-DD76,10/9/2016,5,4,3,3,1,4,3,3
PR1278,8365-EB74,10/9/2016,4,5,4,2,2,4,3,3
PR1279,FAC0-942B,10/14/2016,5,2,5,2,2,3,5,4
PR128,2CA8-4E1B,5/7/2013,3,3,2,1,1,2,4,3
PR1280,45FF-ACE6,10/17/2016,4,4,5,2,1,2,5,4
PR1281,AA19-95BD,10/17/2016,3,3,2,1,1,3,3,2
PR1282,7269-88EC,10/18/2016,5,3,4,1,0,2,4,3
PR1283,465A-91D1,10/19/2016,3,2,5,3,0,3,5,5
PR1284,6F3E-2A75,10/20/2016,4,4,2,1,2,3,5,5
PR1285,CD0F-DE05,10/20/2016,5,2,2,3,1,5,3,2
PR1286,21CB-EF3E,10/22/2016,5,4,3,2,2,5,3,2
PR1287,2E9A-BD2E,10/25/2016,3,5,2,1,1,5,3,2
PR1288,7378-5351,10/25/2016,3,2,2,3,3,2,3,2
PR1289,CEE0-94C3,10/25/2016,5,5,4,1,0,2,4,4
PR129,9BD6-2C43,5/7/2013,3,4,2,2,1,3,3,2
PR1290,9C7D-E1B1,10/26/2016,4,4,2,3,0,3,5,4
PR1291,D199-1896,10/26/2016,3,5,5,1,0,4,4,3
PR1292,7F91-C628,10/26/2016,3,5,3,2,2,3,4,4
PR1293,8C57-8F84,10/28/2016,3,4,4,1,2,2,5,4
PR1294,9E22-6287,10/29/2016,3,4,2,1,0,3,3,3
PR1295,3012-1A41,10/30/2016,3,3,2,3,0,4,3,3
PR1296,6280-B47F,10/31/2016,3,3,3,2,1,3,4,4
PR1297,0868-097F,10/31/2016,4,5,5,2,1,4,4,4
PR1298,7B9D-8612,10/31/2016,3,5,4,3,1,5,4,3
PR1299,C1C6-F683,11/1/2016,3,3,2,2,2,4,4,4
PR13,7839-CA12,1/12/2013,5,3,5,3,2,4,4,3
PR130,291F-B604,5/9/2013,3,5,2,3,2,4,3,2
PR1300,EBBD-37D4,11/2/2016,3,3,3,1,2,5,4,4
PR1301,7FA1-BC64,11/3/2016,4,3,3,3,1,3,5,5
PR1302,DD78-E811,11/4/2016,4,4,3,3,0,3,3,2
PR1303,EC6E-7F42,11/5/2016,5,2,4,2,2,2,5,4
PR1304,1363-6BF9,11/6/2016,5,2,4,3,0,5,3,3
PR1305,1C24-233B,11/6/2016,4,2,2,2,1,3,5,5
PR1306,67ED-A630,11/6/2016,5,3,3,1,1,4,3,2
PR1307,FD95-9EEB,11/7/2016,5,2,4,1,1,4,4,3
PR1308,4C62-5BE8,11/7/2016,5,3,4,2,2,2,5,5
PR1309,AFDF-3DA8,11/8/2016,4,3,2,2,0,3,3,3
PR131,C560-23D6,5/9/2013,5,3,2,2,2,2,3,3
PR1310,BFF3-AADC,11/9/2016,3,5,4,1,2,3,3,2
PR1311,AB4A-E71A,11/9/2016,3,3,3,2,0,2,4,3
PR1312,4FC2-A40D,11/10/2016,4,2,2,1,3,2,3,2
PR1313,7A2A-0600,11/10/2016,4,3,2,2,1,4,3,3
PR1314,3E4A-F28F,11/11/2016,4,5,3,3,2,2,4,4
PR1315,F578-F0C8,11/11/2016,4,4,5,3,2,3,4,3
PR1316,2A04-49D1,11/11/2016,4,3,3,2,0,4,5,4
PR1317,9728-1A5B,11/14/2016,4,3,3,2,2,5,3,3
PR1318,C395-8C36,11/17/2016,4,2,5,3,0,2,3,3
PR1319,FB5B-C127,11/17/2016,5,4,3,3,1,4,5,4
PR132,AB61-2A7E,5/9/2013,4,2,3,3,1,5,4,3
PR1320,C25C-C434,11/18/2016,3,3,2,1,0,2,5,5
PR1321,4DA0-81D7,11/18/2016,5,4,4,2,0,2,5,5
PR1322,0145-DBFC,11/19/2016,3,4,3,2,0,2,3,2
PR1323,085C-7FC2,11/20/2016,4,5,2,2,3,4,3,2
PR1324,7FFD-C810,11/21/2016,5,3,5,2,1,3,5,4
PR1325,C219-6C2E,11/22/2016,4,4,2,3,1,5,4,4
PR1326,1749-81A2,11/23/2016,3,4,5,3,0,3,4,4
PR1327,5B11-3DB3,11/25/2016,4,4,3,2,1,2,5,4
PR1328,6A2B-42DB,11/25/2016,4,5,5,3,0,3,4,4
PR1329,F838-C681,11/25/2016,3,4,3,3,1,2,4,4
PR133,4657-FE18,5/10/2013,3,4,5,1,0,3,4,3
PR1330,3994-472A,11/26/2016,4,4,4,2,0,3,3,2
PR1331,12B5-11CC,11/27/2016,4,5,3,1,0,5,4,4
PR1332,4969-9A35,11/28/2016,3,3,3,2,2,2,4,3
PR1333,2BEA-43B2,11/28/2016,5,3,4,2,2,3,4,4
PR1334,C54B-DBC5,11/29/2016,3,2,2,1,2,3,5,5
PR1335,9FE1-0345,12/1/2016,4,4,3,1,0,3,5,4
PR1336,F265-79B0,12/1/2016,5,5,3,1,0,3,3,3
